lfdn,patient,oppeness,neuro,consc,agree,sociable,country,country_code,eu_country,Asia,Estonia_D,Taiwan_D,China_D,Vietnam_D,Germany_D,Japan_D,age,gender,female,profession,hdegree,bachelor,master,Buddhism,Christianity,Confucianism,Islam,Taoism,Marxism,married,parent,XD13,children,XD14,XD15,eu_income,eu_ppp_income,USD_ppp_income,income_eu_capita,IDV,PDI,MAS,UAI
3M102,1,9,8,4,6,9,Taiwan,3,0,1,0,1,0,0,0,0,28,1,0,4,Bachelor,1,0,1,0,0,0,0,0,0,0,1,0,5,54000,1542.857178,1185,3600,309,70,-35,90,130
3M105,1,7,8,3,8,7,Taiwan,3,0,1,0,1,0,0,0,0,25,0,1,8,Master,1,1,1,0,0,0,1,0,0,0,1,0,3,100000,2857.142822,269.1645203,6666.666504,952,135,-15,-100,-10
3M106,0,6,6,6,6,6,Taiwan,3,0,1,0,1,0,0,0,0,23,0,1,2,Master,1,1,1,0,0,0,0,0,0,0,1,0,3,50000,1428.571411,540,3333.333252,476,115,85,90,135
3M109,1,7,6,6,7,4,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,2,Bachelor,1,0,0,1,0,0,0,0,0,0,1,0,5,12000,342.8571472,400,800,69,100,50,-100,55
3M111,1,7,6,5,6,4,Taiwan,3,0,1,0,1,0,0,0,0,29,1,0,4,Bachelor,1,0,0,0,0,0,1,0,1,0,1,0,6,100000,2857.142822,3000,6666.666504,476,85,25,60,105
3M112,1,8,6,6,6,6,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,8,Master,1,1,1,0,1,0,1,0,0,0,1,0,5,50000,1428.571411,,3333.333252,286,135,30,-150,30
3M114,0,10,2,6,6,7,Taiwan,3,0,1,0,1,0,0,0,0,37,1,0,4,Bachelor,1,0,0,0,0,0,1,0,0,0,1,0,6,45000,1285.714233,7000,3000,214,145,50,110,240
3M115,0,6,6,7,8,8,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,2,Bachelor,1,0,0,0,1,0,0,0,0,0,1,0,5,10000,285.7142944,553.5055542,666.666687,57,115,30,140,5
3M116,1,8,7,6,5,8,Taiwan,3,0,1,0,1,0,0,0,0,23,0,1,4,Bachelor,1,0,1,0,1,0,0,0,0,0,1,0,8,200000,5714.285645,,13333.33301,1429,65,-75,-30,25
3M118,0,8,6,8,8,4,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,2,Master,1,1,1,0,1,0,1,0,0,0,1,0,4,200000,5714.285645,,13333.33301,1429,200,5,20,65
3M119,1,7,7,7,7,5,Taiwan,3,0,1,0,1,0,0,0,0,25,1,0,8,Master,1,1,1,0,0,0,0,0,0,0,1,0,2,14600,417.1428528,,973.333313,209,135,25,90,25
3M120,1,9,8,7,7,7,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,2,Master,1,1,0,0,1,0,0,0,0,0,1,0,5,800000,22857.14258,1383.763794,53333.33203,4571,100,45,-80,70
3M123,1,7,6,7,6,6,Taiwan,3,0,1,0,1,0,0,0,0,21,1,0,2,High school,0,0,0,1,0,0,0,0,0,0,1,0,4,100000,2857.142822,,6666.666504,714,90,35,10,145
3M124,1,7,6,4,7,4,Taiwan,3,0,1,0,1,0,0,0,0,22,1,0,7,High school,0,0,0,0,1,0,0,0,1,1,2,1,3,50000,1428.571411,,3333.333252,476,55,55,120,20
3M125,1,7,4,8,4,4,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,2,Master,1,1,1,0,0,0,0,0,0,0,1,0,4,100000,2857.142822,4319.654297,6666.666504,714,50,15,40,-25
3M126,0,8,6,7,9,5,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,2,Master,1,1,0,0,1,0,0,0,0,0,1,0,4,50000,1428.571411,3424.657471,3333.333252,357,115,110,20,5
3M127,1,6,7,3,7,6,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,4,Master,1,1,1,0,0,0,0,0,0,0,1,0,3,100000,2857.142822,,6666.666504,952,50,50,-30,55
3M129,1,7,3,8,6,6,Taiwan,3,0,1,0,1,0,0,0,0,25,0,1,4,Bachelor,1,0,1,0,1,0,0,0,0,0,1,0,6,35000,1000,,2333.333252,167,135,50,-80,40
3M130,0,9,5,5,7,6,Taiwan,3,0,1,0,1,0,0,0,0,21,1,0,2,Bachelor,1,0,1,1,0,0,0,0,0,0,1,0,6,10000,285.7142944,2200,666.666687,48,100,0,-40,-25
3M131,1,6,5,9,6,5,Taiwan,3,0,1,0,1,0,0,0,0,23,0,1,2,Master,1,1,1,0,1,0,1,0,0,0,1,0,4,60000,1714.285767,,4000,429,100,-5,-100,30
3M132,1,9,5,4,2,4,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,2,Master,1,1,1,0,1,0,1,0,0,0,1,0,3,100000,2857.142822,3.606804609,6666.666504,952,65,85,-130,15
3M133,1,4,7,5,6,5,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,8,Master,1,1,0,0,0,0,0,0,0,0,1,0,4,100000,2857.142822,3000,6666.666504,714,100,50,0,10
3M134,1,6,5,7,8,7,Taiwan,3,0,1,0,1,0,0,0,0,24,0,1,4,Others,0,0,1,0,0,0,0,0,0,0,1,0,4,100000,2857.142822,922.5092163,6666.666504,714,85,30,-40,95
3M135,1,8,6,7,4,5,Taiwan,3,0,1,0,1,0,0,0,0,21,1,0,2,Bachelor,1,0,1,0,1,0,1,0,0,0,1,0,4,150000,4285.714355,,10000,1071,80,30,220,30
3M136,1,9,6,8,8,9,Taiwan,3,0,1,0,1,0,0,0,0,24,0,1,8,Master,1,1,0,0,0,0,1,0,0,0,1,0,4,150000,4285.714355,,10000,1071,70,20,-60,115
3M137,1,5,6,7,8,4,Taiwan,3,0,1,0,1,0,0,0,0,25,0,1,4,Bachelor,1,0,0,0,0,0,0,0,0,0,1,0,4,100000,2857.142822,922.5092163,6666.666504,714,50,130,-100,115
3M138,1,9,6,4,4,8,Taiwan,3,0,1,0,1,0,0,0,0,23,0,1,2,Master,1,1,0,0,0,0,0,0,0,0,1,0,4,50000,1428.571411,0.043066319,3333.333252,357,95,-10,40,-5
3M139,1,8,8,4,8,8,Taiwan,3,0,1,0,1,0,0,0,0,23,0,1,4,Bachelor,1,0,1,0,0,0,0,0,0,0,1,0,6,150000,4285.714355,,10000,714,65,-10,-60,155
3M140,1,8,7,7,6,7,Taiwan,3,0,1,0,1,0,0,0,0,23,0,1,4,Others,0,0,0,0,1,0,0,0,0,0,1,0,5,200000,5714.285645,,13333.33301,1143,70,50,-80,45
3M141,1,8,3,4,4,5,Taiwan,3,0,1,0,1,0,0,0,0,22,0,1,2,,0,0,1,1,0,0,0,0,0,0,1,0,1,790,790,790,1053.333374,790,100,35,-10,85
3M142,1,5,4,7,6,6,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,4,Bachelor,1,0,0,0,0,0,0,0,0,0,1,0,4,34000,971.4285889,5000,2266.666748,243,50,30,-60,25
3M143,0,8,4,4,5,8,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,4,Bachelor,1,0,0,1,0,0,0,0,0,0,1,0,2,700,700,700,933.333313,350,150,0,100,45
3M144,0,5,3,2,5,5,Taiwan,3,0,1,0,1,0,0,0,0,23,0,1,4,Bachelor,1,0,0,1,0,0,0,0,0,0,1,0,4,160000,4571.428711,6479.481445,10666.66699,1143,85,15,-80,120
3M145,0,6,3,7,8,3,Taiwan,3,0,1,0,1,0,0,0,0,21,1,0,2,Bachelor,1,0,0,0,0,0,1,0,0,0,1,0,4,80000,2285.714355,,5333.333496,571,35,105,-60,85
3M146,0,8,6,5,8,5,Taiwan,3,0,1,0,1,0,0,0,0,25,0,1,4,Bachelor,1,0,0,0,0,0,1,0,0,0,1,0,3,45000,1285.714233,,3000,429,70,75,-80,70
3M147,1,10,2,6,4,5,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,3,Bachelor,1,0,0,0,0,0,1,0,0,0,1,0,6,30000,857.1428833,484.4961243,2000,143,100,50,-120,80
3M149,1,8,7,6,4,6,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,2,Master,1,1,0,0,1,0,1,0,0,0,1,0,5,100000,2857.142822,,6666.666504,571,120,10,-100,45
3M150,1,4,9,5,5,6,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,8,Master,1,1,0,0,0,0,1,0,0,0,1,0,5,100000,2857.142822,,6666.666504,571,185,-25,50,-5
3M151,0,6,6,7,7,4,Taiwan,3,0,1,0,1,0,0,0,0,23,0,1,8,Master,1,1,1,0,0,0,0,0,0,0,1,0,5,800000,22857.14258,,53333.33203,4571,105,30,70,15
3M152,1,5,3,8,9,5,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,7,Master,1,1,1,0,0,0,0,0,0,0,1,0,4,100000,2857.142822,850,6666.666504,714,135,50,-110,-50
3M153,1,7,6,4,6,6,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,2,Master,1,1,0,0,1,0,0,0,0,0,1,0,4,60000,1714.285767,738.0073853,4000,429,85,10,0,25
3M154,1,8,7,6,6,8,Taiwan,3,0,1,0,1,0,0,0,0,24,0,1,7,Bachelor,1,0,0,0,1,0,0,0,0,0,1,0,2,90000,2571.428467,,6000,1286,50,15,0,40
3M155,1,10,7,7,6,6,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,4,Bachelor,1,0,0,0,0,0,1,0,0,0,1,0,4,42000,1200,2767.527588,2800,300,175,115,-190,100
8M156,0,6,6,6,6,6,Germany,8,1,0,0,0,0,0,1,0,25,0,1,2,Master,1,1,0,0,1,0,0,0,0,0,1,0,3,1,1,1,1.333333373,0,85,-5,70,60
3M157,1,4,5,5,4,6,Taiwan,3,0,1,0,1,0,0,0,0,27,1,0,4,Bachelor,1,0,1,0,0,0,0,0,0,0,1,0,4,200000,5714.285645,,13333.33301,1429,115,-5,70,30
3M158,1,7,9,5,5,7,Taiwan,3,0,1,0,1,0,0,0,0,25,1,0,8,Master,1,1,0,0,0,0,1,0,0,0,1,0,4,70000,2000,4000,4666.666504,500,65,10,20,-10
3M159,1,6,6,6,5,5,Taiwan,3,0,1,0,1,0,0,0,0,21,0,1,2,Bachelor,1,0,0,0,1,0,0,0,0,0,1,0,4,100000,2857.142822,922.5092163,6666.666504,714,130,-40,50,95
3M160,1,3,4,6,7,8,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,8,Master,1,1,1,0,1,0,1,0,0,0,1,0,4,50000,1428.571411,,3333.333252,357,65,20,40,85
3M161,1,7,6,3,7,7,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,2,Master,1,1,0,0,1,0,0,0,0,0,1,0,4,50000,1428.571411,6479.481445,3333.333252,357,100,35,0,25
3M163,1,8,6,6,6,6,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,8,Bachelor,1,0,1,0,1,0,0,0,0,0,1,0,4,100000,2857.142822,,6666.666504,714,100,-10,10,40
8M164,1,5,7,6,9,2,Germany,8,1,0,0,0,0,0,1,0,27,0,1,2,Master,1,1,0,0,1,0,0,0,0,0,1,0,8,8500,8500,8500,11333.33301,1063,15,20,60,20
3M165,1,9,4,4,7,7,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,8,Bachelor,1,0,1,0,0,0,0,0,0,0,1,0,4,90000,2571.428467,,6000,643,100,-10,-130,40
3M166,1,7,8,6,8,8,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,8,Bachelor,1,0,0,0,0,0,1,0,0,0,1,0,5,130000,3714.285645,1800,8666.666992,743,155,-50,-190,-30
3M167,1,10,9,7,6,6,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,5,Bachelor,1,0,0,1,0,0,0,0,0,0,1,0,4,120000,3428.571533,,8000,857,115,0,-170,-85
3M168,1,6,6,6,6,6,Taiwan,3,0,1,0,1,0,0,0,0,23,0,1,3,Bachelor,1,0,1,0,0,0,0,0,0,0,1,0,4,40000,1142.857178,,2666.666748,286,115,-10,40,80
3M169,1,9,4,4,10,8,Taiwan,3,0,1,0,1,0,0,0,0,26,0,1,4,Master,1,1,0,1,0,0,0,0,1,0,1,0,2,90000,2571.428467,1727.861816,6000,1286,155,30,-140,55
3M170,1,6,7,6,7,7,Taiwan,3,0,1,0,1,0,0,0,0,22,0,1,2,Bachelor,1,0,0,0,0,0,1,0,0,0,1,0,11,50000,1428.571411,738.0073853,3333.333252,130,60,15,10,105
3M171,1,8,6,6,6,5,Taiwan,3,0,1,0,1,0,0,0,0,21,0,1,2,Master,1,1,1,0,0,0,0,0,0,0,1,0,3,60000,1714.285767,3800,4000,571,130,15,-20,-25
3M173,1,9,8,6,5,6,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,5,Bachelor,1,0,0,0,0,0,0,0,0,0,1,0,4,100000,2857.142822,958.9041138,6666.666504,714,95,-65,-100,10
3M174,1,5,6,4,8,5,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,2,Master,1,1,0,0,1,0,0,0,0,0,1,0,4,80000,2285.714355,1383.763794,5333.333496,571,135,30,-60,-10
3M175,1,8,7,7,8,4,Taiwan,3,0,1,0,1,0,0,0,0,23,0,1,4,Bachelor,1,0,0,0,1,0,0,0,0,0,1,0,10,150000,4285.714355,,10000,429,35,25,50,75
3M176,1,6,8,7,9,8,Taiwan,3,0,1,0,1,0,0,0,0,24,0,1,2,Master,1,1,0,1,0,0,0,0,0,0,1,0,4,100000,2857.142822,9000,6666.666504,714,130,15,-140,125
3M177,0,9,6,6,6,6,Taiwan,3,0,1,0,1,0,0,0,0,36,0,1,4,Bachelor,1,0,1,0,0,0,0,0,1,0,1,0,2,150000,4285.714355,,10000,2143,115,105,70,145
5M178,1,8,6,4,8,6,Vitnam,5,0,1,0,0,0,1,0,0,36,0,1,3,Master,1,1,1,0,0,0,0,0,1,1,2,1,3,80000000,3018.86792,7380.07373,12307.69238,1006,100,15,80,105
3M179,0,10,9,3,9,6,Taiwan,3,0,1,0,1,0,0,0,0,24,1,0,2,Master,1,1,0,0,0,0,0,1,0,0,1,0,3,150000,4285.714355,3690.036865,10000,1429,55,65,-30,10
3M180,1,8,6,5,4,5,Taiwan,3,0,1,0,1,0,0,0,0,23,0,1,7,Bachelor,1,0,0,0,0,0,0,0,0,0,1,0,4,10,0.285714298,1650,0.666666687,0,115,-5,0,85
3M181,1,6,7,5,6,8,Taiwan,3,0,1,0,1,0,0,0,0,25,0,1,4,Bachelor,1,0,0,0,1,0,1,0,0,0,1,0,5,40000,1142.857178,,2666.666748,229,195,-15,-100,0
3M183,1,9,5,5,7,6,Taiwan,3,0,1,0,1,0,0,0,0,23,1,0,5,Bachelor,1,0,0,0,0,0,1,0,0,0,1,0,3,30000,857.1428833,,2000,286,85,65,-40,15
3M184,1,7,6,7,8,6,Taiwan,3,0,1,0,1,0,0,0,0,21,1,0,2,Bachelor,1,0,0,0,0,0,1,0,0,0,1,0,4,100000,2857.142822,,6666.666504,714,100,90,10,25
